exercise,utility,mechanics,force,target_muscles,synergist_muscles,stabilizer_muscles,dynamic_stabilizer_muscles,antagonist_stabilizer_muscles
Lever Lying Rear Lateral Raise (plate loaded),Auxiliary,Isolated,Pull,"['Deltoid, Posterior']","['Infraspinatus', 'Teres Minor', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']",['No significant stabilizers'],[''],['']
Cable Neck Rotation (with belt),Auxiliary,Isolated,Pull,['Sternocleidomastoid'],[''],['Stabilizers'],[''],['']
Dumbbell Hammer Curl,Auxiliary,Isolated,Pull,['Brachioradialis'],"['Brachialis', 'Biceps Brachii']","['Deltoid, Anterior', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Flexor Carpi Radialis', 'Extensor Carpi Radialis']",[''],['']
Lever Standing Leg Curl (on multi-hip machine),Basic or Auxiliary,Isolated,Pull,['Hamstrings'],"['Gastrocnemius', 'Gracilis', 'Sartorius', 'Popliteus']","['Adductor Magnus', 'Gluteus Maximus', 'Gluteus Medius', 'Gluteus Minimus', 'Gastrocnemius', 'Soleus']",[''],['Tibialis Anterior']
Lever Straight-back Straight-leg Deadlift (plate loaded),Basic or Auxiliary,Isolated,Pull,['Hamstrings'],"['Gluteus Maximus', 'Adductor Magnus']","['Erector Spinae', 'Trapezius, Middle', 'Rhomboids', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']"
Lever Alternating Lying Leg Press,Basic or Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",['']
Cable Split Squat,Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Erector Spinae', 'Obliques']","['Hamstrings', 'Gastrocnemius']",['']
Reverse Hyper-extension (on stability ball),Auxiliary,Isolated,Push,['Gluteus Maximus'],[''],['Erector Spinae'],[''],"['Rectus Abdominis', 'Obliques']"
Lying Leg-Hip Raise,Basic,Compound,Pull,['Rectus Abdominis'],"['Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']","['Quadriceps', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head']",['Rectus Femoris'],['']
Smith Donkey Calf Raise,Basic,Isolated,Push,['Gastrocnemius'],['Soleus'],"['Serratus Anterior', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular']",[''],['']
Weighted Triceps Dip,Basic,Compound,Push,['Triceps Brachii'],"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi']","['Trapezius, Lower']",['Biceps Brachii'],['']
Dumbbell Lateral Raise,Basic or Auxiliary,Isolated,Pull,"['Deltoid, Lateral']","['Deltoid, Anterior', 'Supraspinatus', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae', 'Wrist Extensors']",[''],['']
